timestamp,currency,amount,inr_quote,effective_rate,institution_country,institution,payment_country,funding_type,loan_provider_type,loan_provider,payment_method,source_url,status
2026-08-27T13:12:34.093718+05:30,NZD,30000,1735534.0,57.8511,New Zealand,University of Waikato,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T13:12:54.829617+05:30,SGD,5000,384085.0,76.817,Singapore,Curtin Singapore,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T13:13:15.436456+05:30,SGD,10000,766971.0,76.6971,Singapore,Curtin Singapore,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T13:13:35.874467+05:30,SGD,15000,1149283.0,76.6189,Singapore,Curtin Singapore,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T13:13:56.293808+05:30,SGD,20000,1532378.0,76.6189,Singapore,Curtin Singapore,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T13:14:16.590670+05:30,SGD,25000,1915779.0,76.6312,Singapore,Curtin Singapore,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T13:14:37.138704+05:30,SGD,30000,2296293.0,76.5431,Singapore,Curtin Singapore,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:35:42.909882+05:30,USD,5000,487500.0,97.5,United States,Harvard University,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:36:04.071194+05:30,USD,10000,974007.0,97.4007,United States,Harvard University,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:36:25.016470+05:30,USD,15000,1461029.0,97.4019,United States,Harvard University,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:36:46.056485+05:30,USD,20000,1946029.0,97.3015,United States,Harvard University,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:37:06.937084+05:30,USD,25000,2432918.0,97.3167,United States,Harvard University,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:37:27.941212+05:30,USD,30000,2917558.0,97.2519,United States,Harvard University,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:37:48.732627+05:30,GBP,5000,661078.0,132.2156,United Kingdom,Imperial College,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:38:10.250740+05:30,GBP,10000,1321179.0,132.1179,United Kingdom,Imperial College,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:38:31.646235+05:30,GBP,15000,1978236.0,131.8824,United Kingdom,Imperial College,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:38:52.649084+05:30,GBP,20000,2637755.0,131.8878,United Kingdom,Imperial College,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:39:13.577225+05:30,GBP,25000,3293711.0,131.7484,United Kingdom,Imperial College,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:39:34.713975+05:30,GBP,30000,3953108.0,131.7703,United Kingdom,Imperial College,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:39:55.839587+05:30,CAD,5000,351753.0,70.3506,Canada,Algoma University,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:40:16.725227+05:30,CAD,10000,702562.0,70.2562,Canada,Algoma University,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:40:37.655811+05:30,CAD,15000,1052597.0,70.1731,Canada,Algoma University,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:40:58.555986+05:30,CAD,20000,1403424.0,70.1712,Canada,Algoma University,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:41:19.562770+05:30,CAD,25000,1754431.0,70.1772,Canada,Algoma University,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
